"","S.obs","S.chao1","se.chao1","S.ACE","se.ACE"
"F_P9_D14",40,82.75,28.1029867275672,85.4349058539042,5.26437951771446
"F_P9_IP",123,265.375,50.3974587826284,283.680737569158,10.2153111483653
"F_P10_D0",248,346.088235294118,23.9194954881169,406.467245641262,12.3936026824209
"F_P10_D7",371,564.710144927536,40.6257879339464,611.803376377459,14.254313828794
"F_P10_D14",72,88.7142857142857,8.50620775931801,107.976079767401,6.14920561108081
"F_P10_IP",223,478,62.7503058037758,511.976228118142,13.2661578793672
"F_P11_D0",81,152.75,31.095604099222,144.255859375,5.62154083578096
"F_P11_D7",47,68.1111111111111,12.6032630876855,77.2443146015925,5.41524605320711
"F_P11_D14",39,96,38.6834516669644,81.7745689655172,4.66081969806427
"F_P11_IP",295,533.904761904762,49.4985834415274,684.118956872323,18.2691744020352
"F_P12_D0",116,197.357142857143,26.540644595291,319.69881310772,14.6123433115594
"F_P12_D7",86,141,22.1048045502451,172.502227804901,8.96694026570813
"F_P12_D14",55,97.1666666666667,24.7331581031586,83.7559657972881,4.36824262495387
"F_P12_IP",75,183.1,46.6381447686377,234.736172839506,8.7547191467809
